# de dato,,Codo,,Entradas,,,,,,Salidas,,,,,
,,,,,,,,,,,,,,,
,,Sentido,,X,,Y,,Z,,q1,,q2,,q3,
1,,Abajo,,0.7175,,0.2,,0.0164,,?0.222224929648081,,1.079973893,,0.2176,
2,,Abajo,,0.2332,,0.3125,,0.1645,,?0.027411519331479,,2.221033082,,0.0695,
3,,Abajo,,0.3254,,0.4213,,0.2122,,0.09828063,,1.827879151,,0.0218,
4,,Abajo,,0.4565,,0.6544,,0.0263,,0.589919293,,0.809173823,,0.2077,
5,,Abajo,,0.6235,,0.1332,,0.2144,,?0.466462691383705,,1.495859302,,0.0196,
6,,Abajo,,0.3125,,0.5954,,0.0645,,0.463887883,,1.372562138,,0.1695,
7,,Abajo,,0.4522,,0.2125,,0.1978,,?0.412584413045369,,1.922451424,,0.0362,
8,,Abajo,,0.1489,,0.3235,,0.2035,,0.156665148,,2.308759872,,0.0305,
9,,Abajo,,0.2814,,0.5135,,0.0453,,0.320544302,,1.6661672,,0.1887,
10,,Abajo,,0.1212,,0.6459,,0.0297,,0.737813633,,1.427586894,,0.2043,
11,,Abajo,,0.5456,,0.2388,,0.1698,,5.960053711,,1.634422643,,0.0642,
12,,Abajo,,0.7531,,0.1268,,0.1705,,?0.287553112431322,,0.991592142,,0.0635,
13,,Abajo,,0.7132,,0.3354,,0.1294,,0.042497055,,0.864918199,,0.1046,
14,,Abajo,,0.2345,,0.4561,,0.0893,,0.258675231,,1.884614734,,0.144682461411244,
15,,Abajo,,0.3753,,0.5645,,0.10755387774870401,,0.36926299,,1.352470877,,0.126446122251296,
16,,Abajo,,0.2944,,0.4195,,0.18594124660561062,,0.121245838,,1.885643157,,0.0480587533943894,
17,,Abajo,,0.3312,,0.1612,,0.12234451272085664,,?0.520961752923354,,2.27720928,,0.111655487279143,
18,,Abajo,,0.3142,,0.4589,,0.09238337094988709,,0.184190602,,1.756802917,,0.141616629050113,
19,,Abajo,,0.4652,,0.1291,,0.1832602683073979,,?6.88247416375525,,1.970050081,,0.0507397316926021,
20,,Abajo,,0.1541,,0.5692,,0.024971691239924286,,0.562901201,,1.653103911,,0.209028308760076,
21,,Abajo,,0.62456654,,0.614904578,,0.172261545,,No hay solucion,,No hay solucion,,No hay solucion,
22,,Abajo,,0.564770531,,0.156092771,,0.183062477,,No hay solucion,,No hay solucion,,No hay solucion,
23,,Abajo,,0.401948632,,0.278631089,,0.087689675,,?0.257158693435622,,1.952357503,,0.146310325,
24,,Abajo,,0.561319765,,0.17938637,,0.157406643,,?0.43471320542777,,1.654381072,,0.076593357,
25,,Abajo,,0.402298805,,0.474133615,,0.13078206,,0.167547927,,1.548986302,,0.10321794,
26,,Abajo,,0.623890832,,0.392717371,,0.019295021,,0.052488781,,1.114042339,,0.214704979,
27,,Abajo,,0.214920395,,0.569853671,,0.178471947,,0.492695333,,1.591022069,,0.055528053,
28,,Abajo,,0.220503026,,0.236923846,,0.203598556,,?0.182207152927005,,2.391726387,,0.030401444,
29,,Abajo,,0.53768386,,0.50210962,,0.102399017,,0.238895976,,1.120729523,,0.131600983,
30,,Abajo,,0.470794098,,0.156989371,,0.223293071,,?0.533686964125963,,1.932002981,,0.010706929,
31,,Arriba,,0.380795425,,0.278222147,,0.202815694,,1.512613789,,4.281980368,,0.031184306,
32,,Abajo,,0.57355737,,0.260070495,,0.145218469,,?0.262567443620648,,1.522348968,,0.088781531,
33,,Abajo,,0.598799419,,0.391589318,,0.165629289,,0.028837128,,1.206109003,,0.068370711,
34,,Abajo,,0.170512037,,0.278365861,,0.083004665,,0.019317549,,2.384663594,,0.150995335,
35,,Abajo,,0.628704101,,0.285830553,,0.109482275,,?0.167020119317023,,1.30439142,,0.124517725,
36,,Abajo,,0.488663971,,0.305767938,,0.108913204,,?0.201622076188609,,1.694627171,,0.125086796,
37,,Abajo,,0.407967807,,0.477659227,,0.105809575,,0.173358653,,1.527724364,,0.128190425,
38,,Abajo,,0.335904652,,0.325445255,,0.07207661,,?0.116030113955446,,2.012016409,,0.16192339,
39,,Abajo,,0.532431111,,0.315611436,,0.038978997,,?0.168579209643717,,1.558487483,,0.195021003,
40,,Abajo,,0.214919087,,0.584742397,,0.026114436,,0.520616606,,1.54506378,,0.207885564,
41,,Abajo,,0.491500359,,0.378931797,,0.032367599,,?0.0445317581696224,,1.552957241,,0.201632401,
42,,Abajo,,0.604239373,,0.554011262,,0.097567783,,0.434414236,,0.668523624,,0.136432217,
43,,Abajo,,0.566847431,,0.122678137,,"0.146374364442833

",,No hay solucion,,No hay solucion,,No hay solucion,
45,,Abajo,,0.2174534,,0.378786971,,0.095963119,,0.133715095,,2.096526979,,0.138036881,
46,,Arriba,,0.211563547,,0.153537213,,0.22914842,,?0.400652226574293,,2.548375989,,0.00485158,
47,,Abajo,,0.274683961,,0.445132141,,0.078204101,,0.192298027,,1.855026517,,0.155795899,
48,,Abajo,,0.138313764,,0.213309128,,0.134064085,,?0.0340865933373887,,2.566315573,,0.099935915,
49,,Abajo,,0.510633445,,0.437851664,,0.121387746,,0.085600776,,1.37173537,,0.112612254,
50,,Abajo,,0.192631357,,0.129766779,,0.161262959,,?0.437426960538762,,2.62116496,,0.072737041,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
